id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1497632046981988354,1497632046981988354,2022-02-26 18:57:59 CET,2022-02-26,18:57:59,+0100,1408348488262307844,dpj_001,Dp_WorlD....🕊️🕊️,,ಇಲ್ಲದ ನಾಳೆಗಾಗಿ ಎಲ್ಲಿಲ್ಲದಷ್ಟು ಕನಸು 🫂                            🚥 #Dp_WorlD #Indian,kn,[],[],[],0,0,0,"['dp_world', 'indian']",[],https://twitter.com/Dpj_001/status/1497632046981988354,False,,0,,,,,,,,[],,,,
1497104021697757184,1497104021697757184,2022-02-25 07:59:48 CET,2022-02-25,07:59:48,+0100,1408348488262307844,dpj_001,Dp_WorlD....🕊️🕊️,,ನಮ್ಮ ಗೌರವ ಬೇರೆಲ್ಲೂ ಇಲ್ಲ ನಮ್ಮ ನಾಲಿಗೆ ಮೇಲೆ ಇದೆ. #Dp_WorlD,kn,[],[],[],0,0,0,['dp_world'],[],https://twitter.com/Dpj_001/status/1497104021697757184,False,,0,,,,,,,,[],,,,
1495001574774829060,1495001574774829060,2022-02-19 12:45:25 CET,2022-02-19,12:45:25,+0100,1408348488262307844,dpj_001,Dp_WorlD....🕊️🕊️,,"ಒಬ್ಬರು ಮತ್ತೊಬ್ಬರನ್ನು ತಿಂದು ಬದುಕ ಬಾರದು, ತಿಳಿದು  ಬದುಕಬೇಕು. #Dp_WorlD",kn,[],[],[],0,0,2,['dp_world'],[],https://twitter.com/Dpj_001/status/1495001574774829060,False,,0,,,,,,,,[],,,,
1494728535629766656,1494728535629766656,2022-02-18 18:40:28 CET,2022-02-18,18:40:28,+0100,1408348488262307844,dpj_001,Dp_WorlD....🕊️🕊️,,ಹಿಜಾಬ್ ಗಲಾಟೆಯಲ್ಲಿ ಮನನೊಂದು ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡ ಕರೋನ 💔 #Dp_WorlD,kn,[],[],[],0,0,0,['dp_world'],[],https://twitter.com/Dpj_001/status/1494728535629766656,False,,0,,,,,,,,[],,,,
1493400915881070592,1493400915881070592,2022-02-15 02:44:59 CET,2022-02-15,02:44:59,+0100,3237942362,amciidle,Ahmed M. ciidle,,Nasabnimada Dadka Reer Somaliland Ee Talada Haya &amp; Kuwa U Sacabo Tumo Waxaa Laga Turjuman Doona Heshiiskii #Galaydh Oo Aanu Aamin Sanahay Inuu Ka Mudan Yahay Kii  #Dp_World  Markalena Waa Tusmo Laga Dheehan Karo Xaqiiqada &amp; Aragtida Goni Isutaaga #JSL Ka Aminsan Yihiin #X_Kulmiye,tl,[],[],[],0,1,3,"['galaydh', 'dp_world', 'jsl', 'x_kulmiye']",[],https://twitter.com/AMciidle/status/1493400915881070592,False,https://twitter.com/SLNAwardsPrize/status/1316400083131420674,0,,,,,,,,[],,,,
1492849317782376450,1492849317782376450,2022-02-13 14:13:07 CET,2022-02-13,14:13:07,+0100,1408348488262307844,dpj_001,Dp_WorlD....🕊️🕊️,,ಇವತ್ತು ನಾನು ಕೇಳಿಯೇಬಿಟ್ಟೆ ನನ್ನ ನೆರಳಿಗೆ  ನನ್ನ ಹಿಂದೆ ಯಾಕೆ ಬರುತ್ತೀಯಾ ಅಂತ  ನೆರಳು ನಗುತ್ತಾ ಹೇಳಿತು ಮತ್ತೆ ಯಾರು ಇದ್ದಾರೆ ನಿನ್ನ ಜೊತೆ? 🌑🌒🌓🌔🌕🌖🌗🌘 🔴🟠🟡🟢🔵🟣🟤⚫ 🟥🟧🟨🟩🟦🟪🟫⬛ ❤️🧡💛💚💙💜🤎🖤  #Indian #Dp_WorlD,kn,[],[],[],0,0,1,"['indian', 'dp_world']",[],https://twitter.com/Dpj_001/status/1492849317782376450,False,,0,,,,,,,,[],,,,
1492573501542313990,1492265405834055681,2022-02-12 19:57:08 CET,2022-02-12,19:57:08,+0100,1359640094198669312,nean61170806,Nean Alexandra,,@arabnews @united4wildlife @EarthshotPrize @KensingtonRoyal @expo2020dubai @DPWorldUAE @DubaiAirports #Expo2020Dubai was wonderful and seeing #PrinceWilliam do so much with #EarthshotPrize Innovation Showcase at #DP_World was brilliant. #QueenRania speech was amazing 💕. I am so glad DX signed the declaration 👏  Thank you #UAE 🇬🇧❤️🇦🇪 #EarthshotPrize #UnitedforWildlife #Dubai 💞,en,[],[],[],1,0,1,"['expo2020dubai', 'princewilliam', 'earthshotprize', 'dp_world', 'queenrania', 'uae', 'earthshotprize', 'unitedforwildlife', 'dubai']",[],https://twitter.com/Nean61170806/status/1492573501542313990,False,,0,,,,,,,,"[{'screen_name': 'arabnews', 'name': 'Arab News', 'id': '69172612'}, {'screen_name': 'united4wildlife', 'name': 'United for Wildlife', 'id': '1652460752'}, {'screen_name': 'EarthshotPrize', 'name': 'The Earthshot Prize', 'id': '1182663999332278272'}, {'screen_name': 'KensingtonRoyal', 'name': 'The Duke and Duchess of Cambridge', 'id': '2812768561'}, {'screen_name': 'expo2020dubai', 'name': 'Expo 2020 Dubai', 'id': '408338751'}, {'screen_name': 'DPWorldUAE', 'name': 'DP World UAE', 'id': '2383410558'}, {'screen_name': 'DubaiAirports', 'name': 'Dubai Airports', 'id': '566059601'}]",,,,
1492537612757872645,1492537568411459585,2022-02-12 17:34:31 CET,2022-02-12,17:34:31,+0100,1359640094198669312,nean61170806,Nean Alexandra,,"Speaking of #DP_World, they are now collaborating with another of #PrinceWilliam #DukeOfCambridge charity, #UnitedforWildlife. They showed how they are combating illegal wildlife trade.  https://t.co/KPl1LkhxXI",en,[],['https://twitter.com/flyingboomerang/status/1491856037627969542?t=PLjkrc-Eqr177mZIqRiOuQ&s=19'],[],1,2,12,"['dp_world', 'princewilliam', 'dukeofcambridge', 'unitedforwildlife']",[],https://twitter.com/Nean61170806/status/1492537612757872645,False,https://twitter.com/flyingboomerang/status/1491856037627969542?t=PLjkrc-Eqr177mZIqRiOuQ&s=19,0,,,,,,,,[],,,,
1492537610253836296,1492537568411459585,2022-02-12 17:34:30 CET,2022-02-12,17:34:30,+0100,1359640094198669312,nean61170806,Nean Alexandra,,"EarthShot winners and finalists got to promote their work and #DP_World gave two, £500,000 each to develop their innovations 💕 https://t.co/MtFCRjn3V8  https://t.co/Zz6w2navtA",en,[],['https://twitter.com/EarthshotPrize/status/1491835296467628034?t=JcGCPpNCWJZffPjL85QfRw&s=19'],"['https://pbs.twimg.com/media/FLZj-TPWUAY4vsL.jpg', 'https://pbs.twimg.com/media/FLZj-4yXEAoW8Xc.jpg']",1,2,11,['dp_world'],[],https://twitter.com/Nean61170806/status/1492537610253836296,False,https://twitter.com/EarthshotPrize/status/1491835296467628034?t=JcGCPpNCWJZffPjL85QfRw&s=19,1,https://pbs.twimg.com/media/FLZj-TPWUAY4vsL.jpg,,,,,,,[],,,,
1492492122557145092,1491799322274398215,2022-02-12 14:33:45 CET,2022-02-12,14:33:45,+0100,1359640094198669312,nean61170806,Nean Alexandra,,"@JaniceC28477503 @CamillaTominey Speaking of #DP_World, they are now collaborating with another of #PrinceWilliam #DukeOfCambridge charity, #UnitedforWildlife. They showed how they are combating illegal wildlife trade.  https://t.co/KPl1LkhxXI",en,[],['https://twitter.com/flyingboomerang/status/1491856037627969542?t=PLjkrc-Eqr177mZIqRiOuQ&s=19'],[],1,1,43,"['dp_world', 'princewilliam', 'dukeofcambridge', 'unitedforwildlife']",[],https://twitter.com/Nean61170806/status/1492492122557145092,False,https://twitter.com/flyingboomerang/status/1491856037627969542?t=PLjkrc-Eqr177mZIqRiOuQ&s=19,0,,,,,,,,"[{'screen_name': 'JaniceC28477503', 'name': 'Janice Cartwright', 'id': '1368042167315349511'}, {'screen_name': 'CamillaTominey', 'name': 'Camilla Tominey', 'id': '54892956'}]",,,,
