0,0,0,0,1,0
1,0,0,1,1,1
2,0,0,0,0,1
3,0,0,0,0,1
4,0,0,0,0,1
5,1,0,0,0,1
6,0,0,0,0,1
7,1,0,1,1,0
8,0,0,0,0,0
9,0,0,0,1,1
10,0,0,1,1,1
11,0,0,0,1,1
12,0,0,0,1,1
13,0,0,0,1,1
14,0,1,0,1,1
15,1,0,0,1,1
16,0,0,0,0,1
17,0,0,1,1,1
18,1,0,0,1,1
19,1,0,0,1,0
20,0,0,1,1,0
21,0,0,0,0,0
22,0,0,0,1,0
23,0,0,0,1,1
24,0,0,0,1,1
25,0,0,1,1,1
26,1,0,0,0,0
27,0,0,0,1,1
28,0,0,0,1,1
29,0,0,0,1,0
30,0,0,0,1,1
31,0,1,0,1,1
32,0,1,1,1,1
33,1,0,0,1,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,1,1
37,0,0,0,0,1
38,0,0,0,0,1
39,0,0,0,1,0
40,0,0,0,1,0
41,0,0,0,1,1
42,0,0,0,1,0
43,0,0,0,0,1
44,0,0,0,0,0
45,0,0,0,0,1
46,0,1,0,1,0
47,0,0,0,1,1
48,0,0,0,0,1
49,0,0,0,1,1
50,0,0,1,1,1
51,0,0,0,0,1
52,0,0,0,1,1
53,1,0,0,1,0
54,0,0,0,1,1
55,0,0,0,1,1
56,1,0,0,1,0
57,0,0,0,1,0
58,0,0,0,1,0
59,0,0,1,1,1
60,0,0,0,0,1
61,0,0,0,1,0
62,0,0,0,1,0
63,0,0,0,0,0
64,1,0,0,1,0
65,0,0,1,0,1
66,1,0,0,1,1
67,0,0,0,1,0
68,0,0,0,1,1
69,1,0,0,1,0
70,0,0,0,1,0
71,1,0,0,0,1
72,0,1,0,0,1
73,0,0,0,0,1
74,0,0,0,1,1
75,1,0,0,0,0
76,0,1,0,1,0
77,0,0,0,1,0
78,0,0,0,1,1
79,0,0,1,1,0
80,0,0,0,0,0
81,0,0,0,1,1
82,0,0,0,1,1
83,0,0,0,1,1
84,1,0,0,1,1
85,0,0,0,1,1
86,0,0,0,0,1
87,0,0,0,0,1
88,0,1,0,1,0
89,0,0,0,1,1
90,0,0,0,1,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,1,1,0
94,0,1,0,1,0
95,0,1,0,1,0
96,0,1,0,0,1
97,0,0,0,0,1
98,0,0,0,1,0
99,0,0,0,0,1
100,0,0,0,1,0
101,0,0,0,1,1
102,1,0,0,0,0
103,0,0,0,1,0
